Year as Date	Highlight Dot	Annotation Button	Term	Year	All Students	Female	Graduate	Male	Nonresident	Resident	Total	Total Female Students	Total Graduate Students	Total Male Students	Total Nonresidents	Total Residents	Total Undergraduate Students	Undergraduate
1877	False	Hide Annotations	Spring	1877														
1878	False	Hide Annotations	Spring	1878														
1879	False	Hide Annotations	Spring	1879														
1880	False	Hide Annotations	Spring	1880														
1881	False	Hide Annotations	Spring	1881														
1882	False	Hide Annotations	Spring	1882														
1883	False	Hide Annotations	Spring	1883														
1884	False	Hide Annotations	Spring	1884														
1885	False	Hide Annotations	Spring	1885														
1886	False	Hide Annotations	Spring	1886														
1887	False	Hide Annotations	Spring	1887														
1888	False	Hide Annotations	Spring	1888														
1889	False	Hide Annotations	Spring	1889														
1890	False	Hide Annotations	Spring	1890														
1891	False	Hide Annotations	Spring	1891														
1892	False	Hide Annotations	Spring	1892														
1893	False	Hide Annotations	Spring	1893														
1894	False	Hide Annotations	Spring	1894														
1895	False	Hide Annotations	Spring	1895														
1896	False	Hide Annotations	Spring	1896														
1897	False	Hide Annotations	Spring	1897														
1898	False	Hide Annotations	Spring	1898														
1899	False	Hide Annotations	Spring	1899														
1900	False	Hide Annotations	Spring	1900														
1901	False	Hide Annotations	Spring	1901														
1902	False	Hide Annotations	Spring	1902														
1903	False	Hide Annotations	Spring	1903														
1904	False	Hide Annotations	Spring	1904														
1905	False	Hide Annotations	Spring	1905														
1906	False	Hide Annotations	Spring	1906														
1907	False	Hide Annotations	Spring	1907														
1908	False	Hide Annotations	Spring	1908														
1909	False	Hide Annotations	Spring	1909														
1910	False	Hide Annotations	Spring	1910														
1911	False	Hide Annotations	Spring	1911														
1912	False	Hide Annotations	Spring	1912														
1913	False	Hide Annotations	Spring	1913														
1914	False	Hide Annotations	Spring	1914														
1915	False	Hide Annotations	Spring	1915														
1916	False	Hide Annotations	Spring	1916														
1917	False	Hide Annotations	Spring	1917														
1918	False	Hide Annotations	Spring	1918														
1919	False	Hide Annotations	Spring	1919														
1920	False	Hide Annotations	Spring	1920														
1921	False	Hide Annotations	Spring	1921														
1922	False	Hide Annotations	Spring	1922														
1923	False	Hide Annotations	Spring	1923														
1924	False	Hide Annotations	Spring	1924														
1925	False	Hide Annotations	Spring	1925														
1926	False	Hide Annotations	Spring	1926														
1927	False	Hide Annotations	Spring	1927														
1928	False	Hide Annotations	Spring	1928														
1929	False	Hide Annotations	Spring	1929														
1930	False	Hide Annotations	Spring	1930														
1931	False	Hide Annotations	Spring	1931														
1932	False	Hide Annotations	Spring	1932														
1933	False	Hide Annotations	Spring	1933														
1934	False	Hide Annotations	Spring	1934														
1935	False	Hide Annotations	Spring	1935														
1936	False	Hide Annotations	Spring	1936														
1937	False	Hide Annotations	Spring	1937														
1938	False	Hide Annotations	Spring	1938														
1939	False	Hide Annotations	Spring	1939														
1940	False	Hide Annotations	Spring	1940														
1941	False	Hide Annotations	Spring	1941														
1942	False	Hide Annotations	Spring	1942														
1943	False	Hide Annotations	Spring	1943														
1944	False	Hide Annotations	Spring	1944														
1945	False	Hide Annotations	Spring	1945														
1946	False	Hide Annotations	Spring	1946														
1947	False	Hide Annotations	Spring	1947														
1948	False	Hide Annotations	Spring	1948														
1949	False	Hide Annotations	Spring	1949														
1950	False	Hide Annotations	Spring	1950														
1951	False	Hide Annotations	Spring	1951														
1952	False	Hide Annotations	Spring	1952														
1953	False	Hide Annotations	Spring	1953														
1954	False	Hide Annotations	Spring	1954														
1955	False	Hide Annotations	Spring	1955														
1956	False	Hide Annotations	Spring	1956														
1957	False	Hide Annotations	Spring	1957														
1958	False	Hide Annotations	Spring	1958														
1959	False	Hide Annotations	Spring	1959														
1960	False	Hide Annotations	Spring	1960														
1961	False	Hide Annotations	Spring	1961														
1962	False	Hide Annotations	Spring	1962														
1963	False	Hide Annotations	Spring	1963		4340	1922	7099	4564	6875	11439		1922				9517	9517
1964	False	Hide Annotations	Spring	1964		4530	2113	7350	4744	7136	11880		2113				9767	9767
1965	False	Hide Annotations	Spring	1965		4858	2255	7691	4884	7665	12549		2255				10294	10294
1966	False	Hide Annotations	Spring	1966		5377	2529	8532	5373	8536	13909		2529				11380	11380
1967	False	Hide Annotations	Spring	1967		5751	2759	8970	5658	9063	14721		2759				11962	11962
1968	False	Hide Annotations	Spring	1968		6239	3118	9780	6420	9599	16019		3118				12901	12901
1969	False	Hide Annotations	Spring	1969		7283	3542	10836	7387	10732	18119		3542				14577	14577
1970	False	Hide Annotations	Spring	1970		7836	4051	11582	7688	11730	19418		4051				15367	15367
1971	False	Hide Annotations	Spring	1971		7590	4369	11768	7512	11846	19358		4369				14989	14989
1972	False	Hide Annotations	Spring	1972		7777	3984	12069	7607	12239	19846		3984				15862	15862
1973	False	Hide Annotations	Spring	1973		7573	3851	11975	7497	12051	19548		3851				15697	15697
1974	False	Hide Annotations	Spring	1974		7819	3747	12142	7399	12562	19961		3747				16214	16214
1975	False	Hide Annotations	Spring	1975		7883	4019	12007	6986	12904	19890		4019				15871	15871
1976	False	Hide Annotations	Spring	1976		7999	3929	11797	6680	13116	19796		3929				15867	15867
1977	False	Hide Annotations	Spring	1977		8423	3985	11768	6321	13870	20191		3985				16206	16206
1978	False	Hide Annotations	Spring	1978		8517	3792	11387	6234	13670	19904		3792				16112	16112
1979	False	Hide Annotations	Spring	1979		8812	3708	11278	6384	13706	20090		3708				16382	16382
1980	False	Hide Annotations	Spring	1980		8954	3616	11213	6432	13735	20167		3616				16551	16551
1981	False	Hide Annotations	Spring	1981		9402	3826	11251	6610	14043	20653		3826				16827	16827
1982	False	Hide Annotations	Spring	1982		9288	3755	10907	6493	13702	20195		3755				16440	16440
1983	False	Hide Annotations	Spring	1983		9741	3969	11408	6478	14671	21149		3969				17180	17180
1984	False	Hide Annotations	Spring	1984		9143	3797	10927	6170	13900	20070		3797				16273	16273
1985	False	Hide Annotations	Spring	1985		9541	3901	11378	6216	14703	20919		3901				17018	17018
1986	False	Hide Annotations	Spring	1986		9322	3911	11263	6439	14146	20585		3911				16674	16674
1987	False	Hide Annotations	Spring	1987		9463	3886	11628	6636	14455	21091		3886				17205	17205
1988	False	Hide Annotations	Spring	1988														
1989	False	Hide Annotations	Spring	1989		10232	4211	12163	7312	15083	22395		4211				18184	18184
1990	False	Hide Annotations	Spring	1990		10426	4262	12420	7387	15459	22846		4262				18584	18584
1991	False	Hide Annotations	Spring	1991		10849	4527	12915	7820	15944	23764		4527				19237	19237
1992	False	Hide Annotations	Spring	1992		10775	4756	12859	7346	16288	23634		4756				18878	18878
1993	False	Hide Annotations	Spring	1993		10550	4684	12578	7524	15604	23128		4684				18444	18444
1994	False	Hide Annotations	Spring	1994		10550	4611	12497	7135	15912	23047		4611				18436	18436
1995	False	Hide Annotations	Spring	1995		10333	4477	12099	6774	15658	22432		4477				17955	17955
1996	False	Hide Annotations	Spring	1996		10349	4457	12156	6973	15532	22505		4457				18048	18048
1997	False	Hide Annotations	Spring	1997		10573	4456	12057	6777	15853	22630		4456				18174	18174
1998	False	Hide Annotations	Spring	1998		10876	4329	12060	6981	15955	22936		4329				18607	18607
1999	False	Hide Annotations	Spring	1999		10976	4207	12264	7244	15996	23240		4207				19033	19033
2000	False	Hide Annotations	Spring	2000		11179	4199	12244	7194	16229	23423		4199				19224	19224
2001	False	Hide Annotations	Spring	2001		11421	4059	12543	7591	16373	23964		4059				19905	19905
2002	False	Hide Annotations	Spring	2002		11768	4139	13047	8135	16680	24815		4139				20676	20676
2003	False	Hide Annotations	Spring	2003		12362	4287	13812	8529	17645	26174		4287				21887	21887
2004	False	Hide Annotations	Spring	2004		12889	4360	14391	8773	18507	27280		4360				22920	22920
2005	False	Hide Annotations	Spring	2005		12835	4277	14320	8379	18776	27155		4277				22878	22878
2006	False	Hide Annotations	Spring	2006		12469	4204	14187	7938	18718	26656		4204				22452	22452
2007	False	Hide Annotations	Spring	2007		12478	4221	14330	8306	18502	26808		4221				22587	22587
2008	False	Hide Annotations	Spring	2008		12567	4297	14388	8476	18479	26955		4297				22658	22658
2009	False	Hide Annotations	Spring	2009		12905	4384	14666	9160	18411	27571		4384				23187	23187
2010	False	Hide Annotations	Spring	2010		13140	4578	15023	9276	18887	28163		4578				23585	23585
2011	False	Hide Annotations	Spring	2011		12897	4934	15010	9373	18532	27907		4934				22973	22973
2012	False	Hide Annotations	Spring	2012		12681	4866	15067	9686	18062	27748		4866				22882	22882
2013	False	Hide Annotations	Spring	2013		12199	4828	15021	9521	17699	27220		4828				22392	22392
2014	False	Hide Annotations	Spring	2014		12065	4665	15176	9707	17534	27241		4665				22576	22576
2015	False	Hide Annotations	Spring	2015		12254	4727	15678	10285	17647	27932		4727				23205	23205
2016	False	Hide Annotations	Spring	2016		12494	5018	16234	11080	17648	28728		5018				23710	23710
2017	False	Hide Annotations	Spring	2017		13021	5209	16990	11915	18096	30011		5209				24802	24802
2018	False	Hide Annotations	Spring	2018		13552	5362	17537	12495	18594	31089		5362				25727	25727
2019	False	Hide Annotations	Spring	2019		14133	5492	18002	13132	19003	32135		5492				26643	26643
2020	False	Hide Annotations	Spring	2020		14732	5664	18341	13519	19554	33073		5664				27409	27409
2021	False	Hide Annotations	Spring	2021		14946	5861	17831	13135	19642	32777		5861				26916	26916
2022	False	Hide Annotations	Spring	2022		14856	6091	18301	14061	19096	33157		6091				27066	27066
2023	False	Hide Annotations	Spring	2023		15336	6264	18487	14410	19413	33823		6264				27559	27559
2024	False	Hide Annotations	Spring	2024		15958	6158	18800	14678	20080	34758		6158				28600	28600
2025	True	Hide Annotations	Spring	2025		16563	6219	19204	14940	20827	35767		6219				29548	29548